,Neighborhood,City,Latitude,Longitude,Venue,Venue Category,Category,Address
11728,Golden Mile,Toronto,43.7278414,-79.2876217,Spring 'N Fresh Rolls,Vietnamese Restaurant,Food,"('Golden Mile', 'Toronto')"
11729,Golden Mile,Toronto,43.7278414,-79.2876217,Shawarma Boss,Middle Eastern Restaurant,Food,"('Golden Mile', 'Toronto')"
11730,Golden Mile,Toronto,43.7278414,-79.2876217,My Sonic (Aka HedgeHog),Moving Target,Travel & Transport,"('Golden Mile', 'Toronto')"
11731,York Mills,Toronto,43.7440391,-79.406657,GoodLife Fitness North York York Mills Centre,Gym,Outdoors & Recreation,"('York Mills', 'Toronto')"
11732,York Mills,Toronto,43.7440391,-79.406657,Starbucks,Coffee Shop,Food,"('York Mills', 'Toronto')"
11733,York Mills,Toronto,43.7440391,-79.406657,Second Cup,Coffee Shop,Food,"('York Mills', 'Toronto')"
11734,York Mills,Toronto,43.7440391,-79.406657,Tim Hortons,Coffee Shop,Food,"('York Mills', 'Toronto')"
11735,York Mills,Toronto,43.7440391,-79.406657,Subway,Sandwich Place,Food,"('York Mills', 'Toronto')"
11736,York Mills,Toronto,43.7440391,-79.406657,Thai Express,Thai Restaurant,Food,"('York Mills', 'Toronto')"
11737,York Mills,Toronto,43.7440391,-79.406657,Druxy's,Deli / Bodega,Food,"('York Mills', 'Toronto')"
11738,York Mills,Toronto,43.7440391,-79.406657,Taqueria Burrito Bar,Burrito Place,Food,"('York Mills', 'Toronto')"
11739,York Mills,Toronto,43.7440391,-79.406657,GoodLife Fitness North York York Mills,Gym,Outdoors & Recreation,"('York Mills', 'Toronto')"
11740,York Mills,Toronto,43.7440391,-79.406657,Chicken Quarter,Indian Restaurant,Food,"('York Mills', 'Toronto')"
11741,York Mills,Toronto,43.7440391,-79.406657,Mr. Souvlaki,Restaurant,Food,"('York Mills', 'Toronto')"
11742,York Mills,Toronto,43.7440391,-79.406657,York Mills GO Bus Terminal,Bus Station,Travel & Transport,"('York Mills', 'Toronto')"
11743,York Mills,Toronto,43.7440391,-79.406657,Tim Horton's,Coffee Shop,Food,"('York Mills', 'Toronto')"
11744,India Bazaar,Toronto,43.6722231,-79.3235032,Udupi Palace,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11745,India Bazaar,Toronto,43.6722231,-79.3235032,Lake Inez,Asian Restaurant,Food,"('India Bazaar', 'Toronto')"
11746,India Bazaar,Toronto,43.6722231,-79.3235032,Lahore Tikka House,Pakistani Restaurant,Food,"('India Bazaar', 'Toronto')"
11747,India Bazaar,Toronto,43.6722231,-79.3235032,Motimahal,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11748,India Bazaar,Toronto,43.6722231,-79.3235032,Flying Pony,Café,Food,"('India Bazaar', 'Toronto')"
11749,India Bazaar,Toronto,43.6722231,-79.3235032,Bombay Chowpatty,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11750,India Bazaar,Toronto,43.6722231,-79.3235032,Eulalie's Corner Store,Bar,Nightlife Spot,"('India Bazaar', 'Toronto')"
11751,India Bazaar,Toronto,43.6722231,-79.3235032,Lahore Paan Centre,Snack Place,Food,"('India Bazaar', 'Toronto')"
11752,India Bazaar,Toronto,43.6722231,-79.3235032,BJ Supermarket,Grocery Store,Shop & Service,"('India Bazaar', 'Toronto')"
11753,India Bazaar,Toronto,43.6722231,-79.3235032,Hakka Wow,Indian Chinese Restaurant,Food,"('India Bazaar', 'Toronto')"
11754,India Bazaar,Toronto,43.6722231,-79.3235032,Regency Restaurant,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11755,India Bazaar,Toronto,43.6722231,-79.3235032,Haandi 2000,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11756,India Bazaar,Toronto,43.6722231,-79.3235032,Gautama,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11757,India Bazaar,Toronto,43.6722231,-79.3235032,Gerrard India Bazaar,Shopping Plaza,Shop & Service,"('India Bazaar', 'Toronto')"
11758,India Bazaar,Toronto,43.6722231,-79.3235032,Baldev Paan House,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11759,India Bazaar,Toronto,43.6722231,-79.3235032,Riverdale Hub,Art Gallery,Arts & Entertainment,"('India Bazaar', 'Toronto')"
11760,India Bazaar,Toronto,43.6722231,-79.3235032,Toronto Cash & Carry,Grocery Store,Shop & Service,"('India Bazaar', 'Toronto')"
11761,India Bazaar,Toronto,43.6722231,-79.3235032,Desi Burger & Chaat House,Burger Joint,Food,"('India Bazaar', 'Toronto')"
11762,India Bazaar,Toronto,43.6722231,-79.3235032,Karma's Kitchen,Tibetan Restaurant,Food,"('India Bazaar', 'Toronto')"
11763,India Bazaar,Toronto,43.6722231,-79.3235032,Nucreation,Women's Store,Shop & Service,"('India Bazaar', 'Toronto')"
11764,India Bazaar,Toronto,43.6722231,-79.3235032,Lahori Taste & Burger House,Indian Restaurant,Food,"('India Bazaar', 'Toronto')"
11765,Commerce Court,Toronto,43.64809515,-79.3790207204735,Canoe,Restaurant,Food,"('Commerce Court', 'Toronto')"
11766,Commerce Court,Toronto,43.64809515,-79.3790207204735,Equinox Bay Street,Gym,Outdoors & Recreation,"('Commerce Court', 'Toronto')"
11767,Commerce Court,Toronto,43.64809515,-79.3790207204735,Hockey Hall Of Fame (Hockey Hall of Fame),Museum,Arts & Entertainment,"('Commerce Court', 'Toronto')"
11768,Commerce Court,Toronto,43.64809515,-79.3790207204735,Walrus Pub & Beer Hall,Pub,Nightlife Spot,"('Commerce Court', 'Toronto')"
11769,Commerce Court,Toronto,43.64809515,-79.3790207204735,Beerbistro,Gastropub,Food,"('Commerce Court', 'Toronto')"
11770,Commerce Court,Toronto,43.64809515,-79.3790207204735,Mos Mos Coffee,Café,Food,"('Commerce Court', 'Toronto')"
11771,Commerce Court,Toronto,43.64809515,-79.3790207204735,Pilot Coffee Roasters,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11772,Commerce Court,Toronto,43.64809515,-79.3790207204735,Movenpick Cafe,Café,Food,"('Commerce Court', 'Toronto')"
11773,Commerce Court,Toronto,43.64809515,-79.3790207204735,DAVIDsTEA,Tea Room,Food,"('Commerce Court', 'Toronto')"
11774,Commerce Court,Toronto,43.64809515,-79.3790207204735,Café Plenty,Café,Food,"('Commerce Court', 'Toronto')"
